id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingenbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland 
cs,Constanze Stelzenmüller,,Justiz,Deutschland
cl,Christian Lindner,FDP,Politik,Deutschland 
ks,Karl Schlögel,,Geschichte,Deutschland 
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland
ft,Frans Timmermans,,Politik,Deutschland 
am,Andrij Melnyk ,,Politik ,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Militär,Deutschland
rh,Robert Habeck ,Die Grünen,Politik,Deutschland 
cm,Claudia Major,,Wissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
500,Folge 500,,,
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,
Grüne,Grüne,,,
Linke,Linke,,,
CDU,CDU,,,
FDP,FDP,,,
SPD,SPD,,,
